image_id,filename,answer,type
8.jpg_exudate_type_aug_6,train\images\8_exudate_aug_6.jpg,Non-existent,augmented
8.jpg_exudate_type_aug_7,train\images\8_exudate_aug_7.jpg,Non-existent,augmented
10.jpg_exudate_type,train\images\10.jpg_exudate_type.jpg,Non-existent,original
10.jpg_exudate_type_aug_0,train\images\10_exudate_aug_0.jpg,Non-existent,augmented
10.jpg_exudate_type_aug_1,train\images\10_exudate_aug_1.jpg,Non-existent,augmented
10.jpg_exudate_type_aug_2,train\images\10_exudate_aug_2.jpg,Non-existent,augmented
10.jpg_exudate_type_aug_3,train\images\10_exudate_aug_3.jpg,Non-existent,augmented
10.jpg_exudate_type_aug_4,train\images\10_exudate_aug_4.jpg,Non-existent,augmented
10.jpg_exudate_type_aug_5,train\images\10_exudate_aug_5.jpg,Non-existent,augmented
10.jpg_exudate_type_aug_6,train\images\10_exudate_aug_6.jpg,Non-existent,augmented
10.jpg_exudate_type_aug_7,train\images\10_exudate_aug_7.jpg,Non-existent,augmented
11.jpg_exudate_type,train\images\11.jpg_exudate_type.jpg,Non-existent,original
11.jpg_exudate_type_aug_0,train\images\11_exudate_aug_0.jpg,Non-existent,augmented
11.jpg_exudate_type_aug_1,train\images\11_exudate_aug_1.jpg,Non-existent,augmented
11.jpg_exudate_type_aug_2,train\images\11_exudate_aug_2.jpg,Non-existent,augmented
11.jpg_exudate_type_aug_3,train\images\11_exudate_aug_3.jpg,Non-existent,augmented
11.jpg_exudate_type_aug_4,train\images\11_exudate_aug_4.jpg,Non-existent,augmented
11.jpg_exudate_type_aug_5,train\images\11_exudate_aug_5.jpg,Non-existent,augmented
11.jpg_exudate_type_aug_6,train\images\11_exudate_aug_6.jpg,Non-existent,augmented
11.jpg_exudate_type_aug_7,train\images\11_exudate_aug_7.jpg,Non-existent,augmented
14.jpg_exudate_type,train\images\14.jpg_exudate_type.jpg,Non-existent,original
14.jpg_exudate_type_aug_0,train\images\14_exudate_aug_0.jpg,Non-existent,augmented
14.jpg_exudate_type_aug_1,train\images\14_exudate_aug_1.jpg,Non-existent,augmented
14.jpg_exudate_type_aug_2,train\images\14_exudate_aug_2.jpg,Non-existent,augmented
14.jpg_exudate_type_aug_3,train\images\14_exudate_aug_3.jpg,Non-existent,augmented
14.jpg_exudate_type_aug_4,train\images\14_exudate_aug_4.jpg,Non-existent,augmented
14.jpg_exudate_type_aug_5,train\images\14_exudate_aug_5.jpg,Non-existent,augmented
14.jpg_exudate_type_aug_6,train\images\14_exudate_aug_6.jpg,Non-existent,augmented
14.jpg_exudate_type_aug_7,train\images\14_exudate_aug_7.jpg,Non-existent,augmented
16.jpg_exudate_type,train\images\16.jpg_exudate_type.jpg,Non-existent,original
16.jpg_exudate_type_aug_0,train\images\16_exudate_aug_0.jpg,Non-existent,augmented
16.jpg_exudate_type_aug_1,train\images\16_exudate_aug_1.jpg,Non-existent,augmented
16.jpg_exudate_type_aug_2,train\images\16_exudate_aug_2.jpg,Non-existent,augmented
16.jpg_exudate_type_aug_3,train\images\16_exudate_aug_3.jpg,Non-existent,augmented
16.jpg_exudate_type_aug_4,train\images\16_exudate_aug_4.jpg,Non-existent,augmented
16.jpg_exudate_type_aug_5,train\images\16_exudate_aug_5.jpg,Non-existent,augmented
16.jpg_exudate_type_aug_6,train\images\16_exudate_aug_6.jpg,Non-existent,augmented
16.jpg_exudate_type_aug_7,train\images\16_exudate_aug_7.jpg,Non-existent,augmented
17.jpg_exudate_type,train\images\17.jpg_exudate_type.jpg,Non-existent,original
17.jpg_exudate_type_aug_0,train\images\17_exudate_aug_0.jpg,Non-existent,augmented
17.jpg_exudate_type_aug_1,train\images\17_exudate_aug_1.jpg,Non-existent,augmented
17.jpg_exudate_type_aug_2,train\images\17_exudate_aug_2.jpg,Non-existent,augmented
17.jpg_exudate_type_aug_3,train\images\17_exudate_aug_3.jpg,Non-existent,augmented
17.jpg_exudate_type_aug_4,train\images\17_exudate_aug_4.jpg,Non-existent,augmented
17.jpg_exudate_type_aug_5,train\images\17_exudate_aug_5.jpg,Non-existent,augmented
17.jpg_exudate_type_aug_6,train\images\17_exudate_aug_6.jpg,Non-existent,augmented
17.jpg_exudate_type_aug_7,train\images\17_exudate_aug_7.jpg,Non-existent,augmented
18.jpg_exudate_type,train\images\18.jpg_exudate_type.jpg,Non-existent,original
18.jpg_exudate_type_aug_0,train\images\18_exudate_aug_0.jpg,Non-existent,augmented
18.jpg_exudate_type_aug_1,train\images\18_exudate_aug_1.jpg,Non-existent,augmented
18.jpg_exudate_type_aug_2,train\images\18_exudate_aug_2.jpg,Non-existent,augmented
18.jpg_exudate_type_aug_3,train\images\18_exudate_aug_3.jpg,Non-existent,augmented
18.jpg_exudate_type_aug_4,train\images\18_exudate_aug_4.jpg,Non-existent,augmented
18.jpg_exudate_type_aug_5,train\images\18_exudate_aug_5.jpg,Non-existent,augmented
18.jpg_exudate_type_aug_6,train\images\18_exudate_aug_6.jpg,Non-existent,augmented
18.jpg_exudate_type_aug_7,train\images\18_exudate_aug_7.jpg,Non-existent,augmented
19.jpg_exudate_type,train\images\19.jpg_exudate_type.jpg,Non-existent,original
19.jpg_exudate_type_aug_0,train\images\19_exudate_aug_0.jpg,Non-existent,augmented
19.jpg_exudate_type_aug_1,train\images\19_exudate_aug_1.jpg,Non-existent,augmented
19.jpg_exudate_type_aug_2,train\images\19_exudate_aug_2.jpg,Non-existent,augmented
19.jpg_exudate_type_aug_3,train\images\19_exudate_aug_3.jpg,Non-existent,augmented
19.jpg_exudate_type_aug_4,train\images\19_exudate_aug_4.jpg,Non-existent,augmented
19.jpg_exudate_type_aug_5,train\images\19_exudate_aug_5.jpg,Non-existent,augmented
19.jpg_exudate_type_aug_6,train\images\19_exudate_aug_6.jpg,Non-existent,augmented
19.jpg_exudate_type_aug_7,train\images\19_exudate_aug_7.jpg,Non-existent,augmented
21.jpg_exudate_type,train\images\21.jpg_exudate_type.jpg,Non-existent,original
21.jpg_exudate_type_aug_0,train\images\21_exudate_aug_0.jpg,Non-existent,augmented
21.jpg_exudate_type_aug_1,train\images\21_exudate_aug_1.jpg,Non-existent,augmented
21.jpg_exudate_type_aug_2,train\images\21_exudate_aug_2.jpg,Non-existent,augmented
21.jpg_exudate_type_aug_3,train\images\21_exudate_aug_3.jpg,Non-existent,augmented
21.jpg_exudate_type_aug_4,train\images\21_exudate_aug_4.jpg,Non-existent,augmented
21.jpg_exudate_type_aug_5,train\images\21_exudate_aug_5.jpg,Non-existent,augmented
21.jpg_exudate_type_aug_6,train\images\21_exudate_aug_6.jpg,Non-existent,augmented
21.jpg_exudate_type_aug_7,train\images\21_exudate_aug_7.jpg,Non-existent,augmented
24.jpg_exudate_type,train\images\24.jpg_exudate_type.jpg,Non-existent,original
24.jpg_exudate_type_aug_0,train\images\24_exudate_aug_0.jpg,Non-existent,augmented
24.jpg_exudate_type_aug_1,train\images\24_exudate_aug_1.jpg,Non-existent,augmented
24.jpg_exudate_type_aug_2,train\images\24_exudate_aug_2.jpg,Non-existent,augmented
24.jpg_exudate_type_aug_3,train\images\24_exudate_aug_3.jpg,Non-existent,augmented
24.jpg_exudate_type_aug_4,train\images\24_exudate_aug_4.jpg,Non-existent,augmented
24.jpg_exudate_type_aug_5,train\images\24_exudate_aug_5.jpg,Non-existent,augmented
24.jpg_exudate_type_aug_6,train\images\24_exudate_aug_6.jpg,Non-existent,augmented
24.jpg_exudate_type_aug_7,train\images\24_exudate_aug_7.jpg,Non-existent,augmented
26.jpg_exudate_type,train\images\26.jpg_exudate_type.jpg,Non-existent,original
26.jpg_exudate_type_aug_0,train\images\26_exudate_aug_0.jpg,Non-existent,augmented
26.jpg_exudate_type_aug_1,train\images\26_exudate_aug_1.jpg,Non-existent,augmented
26.jpg_exudate_type_aug_2,train\images\26_exudate_aug_2.jpg,Non-existent,augmented
26.jpg_exudate_type_aug_3,train\images\26_exudate_aug_3.jpg,Non-existent,augmented
26.jpg_exudate_type_aug_4,train\images\26_exudate_aug_4.jpg,Non-existent,augmented
26.jpg_exudate_type_aug_5,train\images\26_exudate_aug_5.jpg,Non-existent,augmented
26.jpg_exudate_type_aug_6,train\images\26_exudate_aug_6.jpg,Non-existent,augmented
26.jpg_exudate_type_aug_7,train\images\26_exudate_aug_7.jpg,Non-existent,augmented
29.jpg_exudate_type,train\images\29.jpg_exudate_type.jpg,Non-existent,original
29.jpg_exudate_type_aug_0,train\images\29_exudate_aug_0.jpg,Non-existent,augmented
29.jpg_exudate_type_aug_1,train\images\29_exudate_aug_1.jpg,Non-existent,augmented
29.jpg_exudate_type_aug_2,train\images\29_exudate_aug_2.jpg,Non-existent,augmented
29.jpg_exudate_type_aug_3,train\images\29_exudate_aug_3.jpg,Non-existent,augmented
29.jpg_exudate_type_aug_4,train\images\29_exudate_aug_4.jpg,Non-existent,augmented
29.jpg_exudate_type_aug_5,train\images\29_exudate_aug_5.jpg,Non-existent,augmented
29.jpg_exudate_type_aug_6,train\images\29_exudate_aug_6.jpg,Non-existent,augmented
29.jpg_exudate_type_aug_7,train\images\29_exudate_aug_7.jpg,Non-existent,augmented
32.jpg_exudate_type,train\images\32.jpg_exudate_type.jpg,Non-existent,original
32.jpg_exudate_type_aug_0,train\images\32_exudate_aug_0.jpg,Non-existent,augmented
32.jpg_exudate_type_aug_1,train\images\32_exudate_aug_1.jpg,Non-existent,augmented
32.jpg_exudate_type_aug_2,train\images\32_exudate_aug_2.jpg,Non-existent,augmented
32.jpg_exudate_type_aug_3,train\images\32_exudate_aug_3.jpg,Non-existent,augmented
32.jpg_exudate_type_aug_4,train\images\32_exudate_aug_4.jpg,Non-existent,augmented
32.jpg_exudate_type_aug_5,train\images\32_exudate_aug_5.jpg,Non-existent,augmented
32.jpg_exudate_type_aug_6,train\images\32_exudate_aug_6.jpg,Non-existent,augmented
32.jpg_exudate_type_aug_7,train\images\32_exudate_aug_7.jpg,Non-existent,augmented
33.jpg_exudate_type,train\images\33.jpg_exudate_type.jpg,Non-existent,original
33.jpg_exudate_type_aug_0,train\images\33_exudate_aug_0.jpg,Non-existent,augmented
33.jpg_exudate_type_aug_1,train\images\33_exudate_aug_1.jpg,Non-existent,augmented
33.jpg_exudate_type_aug_2,train\images\33_exudate_aug_2.jpg,Non-existent,augmented
33.jpg_exudate_type_aug_3,train\images\33_exudate_aug_3.jpg,Non-existent,augmented
33.jpg_exudate_type_aug_4,train\images\33_exudate_aug_4.jpg,Non-existent,augmented
33.jpg_exudate_type_aug_5,train\images\33_exudate_aug_5.jpg,Non-existent,augmented
33.jpg_exudate_type_aug_6,train\images\33_exudate_aug_6.jpg,Non-existent,augmented
33.jpg_exudate_type_aug_7,train\images\33_exudate_aug_7.jpg,Non-existent,augmented
34.jpg_exudate_type,train\images\34.jpg_exudate_type.jpg,Non-existent,original
34.jpg_exudate_type_aug_0,train\images\34_exudate_aug_0.jpg,Non-existent,augmented
34.jpg_exudate_type_aug_1,train\images\34_exudate_aug_1.jpg,Non-existent,augmented
34.jpg_exudate_type_aug_2,train\images\34_exudate_aug_2.jpg,Non-existent,augmented
34.jpg_exudate_type_aug_3,train\images\34_exudate_aug_3.jpg,Non-existent,augmented
34.jpg_exudate_type_aug_4,train\images\34_exudate_aug_4.jpg,Non-existent,augmented
34.jpg_exudate_type_aug_5,train\images\34_exudate_aug_5.jpg,Non-existent,augmented
34.jpg_exudate_type_aug_6,train\images\34_exudate_aug_6.jpg,Non-existent,augmented
34.jpg_exudate_type_aug_7,train\images\34_exudate_aug_7.jpg,Non-existent,augmented
35.jpg_exudate_type,train\images\35.jpg_exudate_type.jpg,Non-existent,original
35.jpg_exudate_type_aug_0,train\images\35_exudate_aug_0.jpg,Non-existent,augmented
35.jpg_exudate_type_aug_1,train\images\35_exudate_aug_1.jpg,Non-existent,augmented
35.jpg_exudate_type_aug_2,train\images\35_exudate_aug_2.jpg,Non-existent,augmented
35.jpg_exudate_type_aug_3,train\images\35_exudate_aug_3.jpg,Non-existent,augmented
35.jpg_exudate_type_aug_4,train\images\35_exudate_aug_4.jpg,Non-existent,augmented
35.jpg_exudate_type_aug_5,train\images\35_exudate_aug_5.jpg,Non-existent,augmented
35.jpg_exudate_type_aug_6,train\images\35_exudate_aug_6.jpg,Non-existent,augmented
35.jpg_exudate_type_aug_7,train\images\35_exudate_aug_7.jpg,Non-existent,augmented
36.jpg_exudate_type,train\images\36.jpg_exudate_type.jpg,Non-existent,original
36.jpg_exudate_type_aug_0,train\images\36_exudate_aug_0.jpg,Non-existent,augmented
36.jpg_exudate_type_aug_1,train\images\36_exudate_aug_1.jpg,Non-existent,augmented
36.jpg_exudate_type_aug_2,train\images\36_exudate_aug_2.jpg,Non-existent,augmented
36.jpg_exudate_type_aug_3,train\images\36_exudate_aug_3.jpg,Non-existent,augmented
36.jpg_exudate_type_aug_4,train\images\36_exudate_aug_4.jpg,Non-existent,augmented
36.jpg_exudate_type_aug_5,train\images\36_exudate_aug_5.jpg,Non-existent,augmented
36.jpg_exudate_type_aug_6,train\images\36_exudate_aug_6.jpg,Non-existent,augmented
36.jpg_exudate_type_aug_7,train\images\36_exudate_aug_7.jpg,Non-existent,augmented
37.jpg_exudate_type,train\images\37.jpg_exudate_type.jpg,Non-existent,original
37.jpg_exudate_type_aug_0,train\images\37_exudate_aug_0.jpg,Non-existent,augmented
37.jpg_exudate_type_aug_1,train\images\37_exudate_aug_1.jpg,Non-existent,augmented
37.jpg_exudate_type_aug_2,train\images\37_exudate_aug_2.jpg,Non-existent,augmented
37.jpg_exudate_type_aug_3,train\images\37_exudate_aug_3.jpg,Non-existent,augmented
37.jpg_exudate_type_aug_4,train\images\37_exudate_aug_4.jpg,Non-existent,augmented
37.jpg_exudate_type_aug_5,train\images\37_exudate_aug_5.jpg,Non-existent,augmented
37.jpg_exudate_type_aug_6,train\images\37_exudate_aug_6.jpg,Non-existent,augmented
37.jpg_exudate_type_aug_7,train\images\37_exudate_aug_7.jpg,Non-existent,augmented
38.jpg_exudate_type,train\images\38.jpg_exudate_type.jpg,Non-existent,original
38.jpg_exudate_type_aug_0,train\images\38_exudate_aug_0.jpg,Non-existent,augmented
38.jpg_exudate_type_aug_1,train\images\38_exudate_aug_1.jpg,Non-existent,augmented
38.jpg_exudate_type_aug_2,train\images\38_exudate_aug_2.jpg,Non-existent,augmented
38.jpg_exudate_type_aug_3,train\images\38_exudate_aug_3.jpg,Non-existent,augmented
38.jpg_exudate_type_aug_4,train\images\38_exudate_aug_4.jpg,Non-existent,augmented
38.jpg_exudate_type_aug_5,train\images\38_exudate_aug_5.jpg,Non-existent,augmented
38.jpg_exudate_type_aug_6,train\images\38_exudate_aug_6.jpg,Non-existent,augmented
38.jpg_exudate_type_aug_7,train\images\38_exudate_aug_7.jpg,Non-existent,augmented
39.jpg_exudate_type,train\images\39.jpg_exudate_type.jpg,Non-existent,original
39.jpg_exudate_type_aug_0,train\images\39_exudate_aug_0.jpg,Non-existent,augmented
39.jpg_exudate_type_aug_1,train\images\39_exudate_aug_1.jpg,Non-existent,augmented
39.jpg_exudate_type_aug_2,train\images\39_exudate_aug_2.jpg,Non-existent,augmented
39.jpg_exudate_type_aug_3,train\images\39_exudate_aug_3.jpg,Non-existent,augmented
39.jpg_exudate_type_aug_4,train\images\39_exudate_aug_4.jpg,Non-existent,augmented
39.jpg_exudate_type_aug_5,train\images\39_exudate_aug_5.jpg,Non-existent,augmented
39.jpg_exudate_type_aug_6,train\images\39_exudate_aug_6.jpg,Non-existent,augmented
39.jpg_exudate_type_aug_7,train\images\39_exudate_aug_7.jpg,Non-existent,augmented
42.jpg_exudate_type,train\images\42.jpg_exudate_type.jpg,Non-existent,original
42.jpg_exudate_type_aug_0,train\images\42_exudate_aug_0.jpg,Non-existent,augmented
42.jpg_exudate_type_aug_1,train\images\42_exudate_aug_1.jpg,Non-existent,augmented
42.jpg_exudate_type_aug_2,train\images\42_exudate_aug_2.jpg,Non-existent,augmented
42.jpg_exudate_type_aug_3,train\images\42_exudate_aug_3.jpg,Non-existent,augmented
42.jpg_exudate_type_aug_4,train\images\42_exudate_aug_4.jpg,Non-existent,augmented
42.jpg_exudate_type_aug_5,train\images\42_exudate_aug_5.jpg,Non-existent,augmented
42.jpg_exudate_type_aug_6,train\images\42_exudate_aug_6.jpg,Non-existent,augmented
42.jpg_exudate_type_aug_7,train\images\42_exudate_aug_7.jpg,Non-existent,augmented
43.jpg_exudate_type,train\images\43.jpg_exudate_type.jpg,Non-existent,original
43.jpg_exudate_type_aug_0,train\images\43_exudate_aug_0.jpg,Non-existent,augmented
43.jpg_exudate_type_aug_1,train\images\43_exudate_aug_1.jpg,Non-existent,augmented
43.jpg_exudate_type_aug_2,train\images\43_exudate_aug_2.jpg,Non-existent,augmented
43.jpg_exudate_type_aug_3,train\images\43_exudate_aug_3.jpg,Non-existent,augmented
43.jpg_exudate_type_aug_4,train\images\43_exudate_aug_4.jpg,Non-existent,augmented
43.jpg_exudate_type_aug_5,train\images\43_exudate_aug_5.jpg,Non-existent,augmented
43.jpg_exudate_type_aug_6,train\images\43_exudate_aug_6.jpg,Non-existent,augmented
43.jpg_exudate_type_aug_7,train\images\43_exudate_aug_7.jpg,Non-existent,augmented
45.jpg_exudate_type,train\images\45.jpg_exudate_type.jpg,Non-existent,original
45.jpg_exudate_type_aug_0,train\images\45_exudate_aug_0.jpg,Non-existent,augmented
45.jpg_exudate_type_aug_1,train\images\45_exudate_aug_1.jpg,Non-existent,augmented
45.jpg_exudate_type_aug_2,train\images\45_exudate_aug_2.jpg,Non-existent,augmented
45.jpg_exudate_type_aug_3,train\images\45_exudate_aug_3.jpg,Non-existent,augmented
45.jpg_exudate_type_aug_4,train\images\45_exudate_aug_4.jpg,Non-existent,augmented
45.jpg_exudate_type_aug_5,train\images\45_exudate_aug_5.jpg,Non-existent,augmented
45.jpg_exudate_type_aug_6,train\images\45_exudate_aug_6.jpg,Non-existent,augmented
45.jpg_exudate_type_aug_7,train\images\45_exudate_aug_7.jpg,Non-existent,augmented
48.jpg_exudate_type,train\images\48.jpg_exudate_type.jpg,Non-existent,original
48.jpg_exudate_type_aug_0,train\images\48_exudate_aug_0.jpg,Non-existent,augmented
48.jpg_exudate_type_aug_1,train\images\48_exudate_aug_1.jpg,Non-existent,augmented
48.jpg_exudate_type_aug_2,train\images\48_exudate_aug_2.jpg,Non-existent,augmented
48.jpg_exudate_type_aug_3,train\images\48_exudate_aug_3.jpg,Non-existent,augmented
48.jpg_exudate_type_aug_4,train\images\48_exudate_aug_4.jpg,Non-existent,augmented
48.jpg_exudate_type_aug_5,train\images\48_exudate_aug_5.jpg,Non-existent,augmented
48.jpg_exudate_type_aug_6,train\images\48_exudate_aug_6.jpg,Non-existent,augmented
48.jpg_exudate_type_aug_7,train\images\48_exudate_aug_7.jpg,Non-existent,augmented
49.jpg_exudate_type,train\images\49.jpg_exudate_type.jpg,Non-existent,original
49.jpg_exudate_type_aug_0,train\images\49_exudate_aug_0.jpg,Non-existent,augmented
49.jpg_exudate_type_aug_1,train\images\49_exudate_aug_1.jpg,Non-existent,augmented
49.jpg_exudate_type_aug_2,train\images\49_exudate_aug_2.jpg,Non-existent,augmented
49.jpg_exudate_type_aug_3,train\images\49_exudate_aug_3.jpg,Non-existent,augmented
49.jpg_exudate_type_aug_4,train\images\49_exudate_aug_4.jpg,Non-existent,augmented
49.jpg_exudate_type_aug_5,train\images\49_exudate_aug_5.jpg,Non-existent,augmented
49.jpg_exudate_type_aug_6,train\images\49_exudate_aug_6.jpg,Non-existent,augmented
49.jpg_exudate_type_aug_7,train\images\49_exudate_aug_7.jpg,Non-existent,augmented
51.jpg_exudate_type,train\images\51.jpg_exudate_type.jpg,Non-existent,original
51.jpg_exudate_type_aug_0,train\images\51_exudate_aug_0.jpg,Non-existent,augmented
51.jpg_exudate_type_aug_1,train\images\51_exudate_aug_1.jpg,Non-existent,augmented
51.jpg_exudate_type_aug_2,train\images\51_exudate_aug_2.jpg,Non-existent,augmented
51.jpg_exudate_type_aug_3,train\images\51_exudate_aug_3.jpg,Non-existent,augmented
51.jpg_exudate_type_aug_4,train\images\51_exudate_aug_4.jpg,Non-existent,augmented
51.jpg_exudate_type_aug_5,train\images\51_exudate_aug_5.jpg,Non-existent,augmented
51.jpg_exudate_type_aug_6,train\images\51_exudate_aug_6.jpg,Non-existent,augmented
51.jpg_exudate_type_aug_7,train\images\51_exudate_aug_7.jpg,Non-existent,augmented
52.jpg_exudate_type,train\images\52.jpg_exudate_type.jpg,Non-existent,original
52.jpg_exudate_type_aug_0,train\images\52_exudate_aug_0.jpg,Non-existent,augmented
52.jpg_exudate_type_aug_1,train\images\52_exudate_aug_1.jpg,Non-existent,augmented
52.jpg_exudate_type_aug_2,train\images\52_exudate_aug_2.jpg,Non-existent,augmented
52.jpg_exudate_type_aug_3,train\images\52_exudate_aug_3.jpg,Non-existent,augmented
52.jpg_exudate_type_aug_4,train\images\52_exudate_aug_4.jpg,Non-existent,augmented
52.jpg_exudate_type_aug_5,train\images\52_exudate_aug_5.jpg,Non-existent,augmented
52.jpg_exudate_type_aug_6,train\images\52_exudate_aug_6.jpg,Non-existent,augmented
52.jpg_exudate_type_aug_7,train\images\52_exudate_aug_7.jpg,Non-existent,augmented
53.jpg_exudate_type,train\images\53.jpg_exudate_type.jpg,Non-existent,original
53.jpg_exudate_type_aug_0,train\images\53_exudate_aug_0.jpg,Non-existent,augmented
53.jpg_exudate_type_aug_1,train\images\53_exudate_aug_1.jpg,Non-existent,augmented
53.jpg_exudate_type_aug_2,train\images\53_exudate_aug_2.jpg,Non-existent,augmented
53.jpg_exudate_type_aug_3,train\images\53_exudate_aug_3.jpg,Non-existent,augmented
53.jpg_exudate_type_aug_4,train\images\53_exudate_aug_4.jpg,Non-existent,augmented
53.jpg_exudate_type_aug_5,train\images\53_exudate_aug_5.jpg,Non-existent,augmented
53.jpg_exudate_type_aug_6,train\images\53_exudate_aug_6.jpg,Non-existent,augmented
53.jpg_exudate_type_aug_7,train\images\53_exudate_aug_7.jpg,Non-existent,augmented
55.jpg_exudate_type,train\images\55.jpg_exudate_type.jpg,Non-existent,original
55.jpg_exudate_type_aug_0,train\images\55_exudate_aug_0.jpg,Non-existent,augmented
55.jpg_exudate_type_aug_1,train\images\55_exudate_aug_1.jpg,Non-existent,augmented
55.jpg_exudate_type_aug_2,train\images\55_exudate_aug_2.jpg,Non-existent,augmented
55.jpg_exudate_type_aug_3,train\images\55_exudate_aug_3.jpg,Non-existent,augmented
55.jpg_exudate_type_aug_4,train\images\55_exudate_aug_4.jpg,Non-existent,augmented
55.jpg_exudate_type_aug_5,train\images\55_exudate_aug_5.jpg,Non-existent,augmented
55.jpg_exudate_type_aug_6,train\images\55_exudate_aug_6.jpg,Non-existent,augmented
55.jpg_exudate_type_aug_7,train\images\55_exudate_aug_7.jpg,Non-existent,augmented
56.jpg_exudate_type,train\images\56.jpg_exudate_type.jpg,Non-existent,original
56.jpg_exudate_type_aug_0,train\images\56_exudate_aug_0.jpg,Non-existent,augmented
56.jpg_exudate_type_aug_1,train\images\56_exudate_aug_1.jpg,Non-existent,augmented
56.jpg_exudate_type_aug_2,train\images\56_exudate_aug_2.jpg,Non-existent,augmented
56.jpg_exudate_type_aug_3,train\images\56_exudate_aug_3.jpg,Non-existent,augmented
56.jpg_exudate_type_aug_4,train\images\56_exudate_aug_4.jpg,Non-existent,augmented
56.jpg_exudate_type_aug_5,train\images\56_exudate_aug_5.jpg,Non-existent,augmented
56.jpg_exudate_type_aug_6,train\images\56_exudate_aug_6.jpg,Non-existent,augmented
56.jpg_exudate_type_aug_7,train\images\56_exudate_aug_7.jpg,Non-existent,augmented
57.jpg_exudate_type,train\images\57.jpg_exudate_type.jpg,Non-existent,original
57.jpg_exudate_type_aug_0,train\images\57_exudate_aug_0.jpg,Non-existent,augmented
